Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,tag
0.804,0.528,1,-3.231,0.378,0.125,0,0.41,0.321,138.005,energ
0.733,0.334,1,-11.314,0.0811,0.327,0,0.116,0.267,119.935,energ
0.863,0.464,1,-10.559,0.346,0.00449,0,0.0938,0.566,75.5,energ
0.845,0.304,10,-16.441,0.195,0.371,0,0.112,0.413,90.01,energ
0.896,0.72,0,-6.262,0.355,0.169,0,0.252,0.966,140.1,energ
0.852,0.553,1,-7.286,0.187,0.0559,0,0.332,0.656,142.079,energ
0.752,0.653,6,-4.607,0.293,0.0647,0,0.125,0.569,165.046,energ
0.716,0.541,1,-7.909,0.149,0.0021,0,0.115,0.387,139.978,energ
0.953,0.515,10,-8.546,0.0846,0.00389,0,0.11,0.351,138.039,energ
0.786,0.583,0,-7.415,0.0393,0.0552,1.84E-06,0.326,0.229,120.024,energ
0.962,0.619,10,-5.562,0.405,0.0354,0,0.083,0.154,127.958,energ
0.798,0.605,9,-7.186,0.208,0.162,0,0.293,0.806,123.972,energ
0.941,0.676,4,-5.54,0.0936,0.211,4.64E-06,0.0986,0.93,120.073,energ
0.831,0.532,0,-5.319,0.301,0.0652,0,0.464,0.364,140.105,energ
0.753,0.686,1,-5.415,0.284,0.0677,0,0.193,0.886,132.055,energ
0.731,0.811,1,-3.225,0.0712,0.0204,0,0.411,0.426,147.045,energ
0.9,0.846,0,-4.884,0.224,0.025,0,0.204,0.851,129.966,energ
0.891,0.486,6,-7.803,0.159,0.0158,3.78E-06,0.0925,0.239,125.01,energ
0.854,0.48,9,-7.388,0.293,0.208,0,0.127,0.293,86.049,energ
0.91,0.442,1,-8.876,0.183,0.0115,0,0.263,0.261,116.12,energ
0.859,0.506,10,-8.115,0.418,0.105,0,0.113,0.153,140.973,energ
0.889,0.516,8,-8.852,0.327,0.372,0,0.0926,0.732,140.005,energ
0.53,0.661,8,-5.507,0.083,0.141,0.00018,0.123,0.149,122.482,energ
0.93,0.264,4,-15.286,0.479,0.163,0,0.0924,0.462,121.027,energ
0.736,0.578,7,-7.387,0.129,0.0906,1.58E-06,0.319,0.133,172.96,energ
0.883,0.808,1,-3.158,0.183,0.0317,0,0.207,0.805,119.012,energ
0.75,0.548,9,-6.288,0.358,0.00619,0,0.156,0.377,160.084,energ
0.793,0.395,1,-5.578,0.385,0.277,1.40E-05,0.109,0.129,77.027,energ
0.63,0.399,5,-9.869,0.178,0.105,0.174,0.234,0.0657,183.016,energ
0.587,0.691,1,-8.893,0.334,0.00298,0,0.187,0.416,107.996,energ
0.803,0.719,0,-4.485,0.392,0.344,0,0.425,0.549,129.945,energ
0.768,0.807,2,-5.508,0.106,0.053,2.99E-06,0.214,0.575,112.001,energ
0.903,0.535,8,-6.238,0.286,0.0298,0,0.0851,0.157,130.117,energ
0.817,0.556,4,-7.178,0.14,0.469,0,0.131,0.314,126.991,energ
0.901,0.464,5,-9.789,0.0645,0.368,1.71E-05,0.238,0.638,109.004,energ
0.886,0.479,4,-8.054,0.334,0.077,0,0.135,0.408,130.029,energ
0.827,0.552,4,-7.571,0.274,0.0169,0,0.122,0.408,124.011,energ
0.681,0.314,8,-9.319,0.0581,0.2,9.82E-06,0.1,0.166,139.992,energ
0.882,0.625,9,-8.878,0.293,0.0677,0,0.482,0.935,129.965,energ
0.891,0.525,10,-7.666,0.214,0.00214,0,0.0887,0.15,133.126,energ
0.757,0.673,1,-8.513,0.141,0.095,0,0.338,0.574,92.958,energ
0.906,0.395,1,-11.277,0.206,0.0103,0.000195,0.117,0.376,146.056,energ
0.893,0.618,7,-4.425,0.112,0.0827,0,0.542,0.389,119.099,energ
0.791,0.735,5,-4.764,0.16,0.0427,0,0.134,0.497,144.985,energ
0.87,0.567,8,-6.278,0.123,0.159,0,0.102,0.369,117.97,energ
