danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.646,0.535,5,-6.512,0,0.0557,0.142,0.0,0.0503,0.705,118.028,audio_features,1PLpbxdsXDgkVteS5lSwUk,spotify:track:1PLpbxdsXDgkVteS5lSwUk,https://api.spotify.com/v1/tracks/1PLpbxdsXDgkVteS5lSwUk,https://api.spotify.com/v1/audio-analysis/1PLpbxdsXDgkVteS5lSwUk,239987,4
0.658,0.614,0,-5.733,1,0.0279,0.745,0.0,0.112,0.669,129.99,audio_features,4YfDticlwW58vBTV2OB9Z0,spotify:track:4YfDticlwW58vBTV2OB9Z0,https://api.spotify.com/v1/tracks/4YfDticlwW58vBTV2OB9Z0,https://api.spotify.com/v1/audio-analysis/4YfDticlwW58vBTV2OB9Z0,246560,4
0.593,0.0245,2,-22.322,1,0.0382,0.971,1.01e-06,0.0756,0.273,85.04,audio_features,5U02MVv6SGMigHeyKYC309,spotify:track:5U02MVv6SGMigHeyKYC309,https://api.spotify.com/v1/tracks/5U02MVv6SGMigHeyKYC309,https://api.spotify.com/v1/audio-analysis/5U02MVv6SGMigHeyKYC309,225656,4
0.568,0.525,6,-6.473,1,0.0235,0.678,0.0,0.134,0.404,96.007,audio_features,0qkMJO5YJRU22PATHZsH1U,spotify:track:0qkMJO5YJRU22PATHZsH1U,https://api.spotify.com/v1/tracks/0qkMJO5YJRU22PATHZsH1U,https://api.spotify.com/v1/audio-analysis/0qkMJO5YJRU22PATHZsH1U,232973,4
0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,audio_features,2nC3QhMI9reBIOWutbU3Tj,spotify:track:2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/tracks/2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/audio-analysis/2nC3QhMI9reBIOWutbU3Tj,201084,4
0.486,0.411,6,-5.623,1,0.0374,0.747,0.0,0.342,0.364,139.914,audio_features,5oL7vOxCz2eJKAX6G4Yluh,spotify:track:5oL7vOxCz2eJKAX6G4Yluh,https://api.spotify.com/v1/tracks/5oL7vOxCz2eJKAX6G4Yluh,https://api.spotify.com/v1/audio-analysis/5oL7vOxCz2eJKAX6G4Yluh,260093,4
0.569,0.611,9,-8.057,1,0.0281,0.045,0.0,0.112,0.21,83.994,audio_features,2UUXNjVVty8KwkUQ5dqvtq,spotify:track:2UUXNjVVty8KwkUQ5dqvtq,https://api.spotify.com/v1/tracks/2UUXNjVVty8KwkUQ5dqvtq,https://api.spotify.com/v1/audio-analysis/2UUXNjVVty8KwkUQ5dqvtq,301021,4
0.6,0.468,8,-9.126,1,0.0335,0.865,3.13e-06,0.104,0.203,123.987,audio_features,25pWemriUQVrZ3yIiS2IBf,spotify:track:25pWemriUQVrZ3yIiS2IBf,https://api.spotify.com/v1/tracks/25pWemriUQVrZ3yIiS2IBf,https://api.spotify.com/v1/audio-analysis/25pWemriUQVrZ3yIiS2IBf,205424,4
0.242,0.316,9,-8.605,0,0.0322,0.894,0.0,0.227,0.202,171.301,audio_features,7oTCQ6lVUjdu2H5ptBgNRr,spotify:track:7oTCQ6lVUjdu2H5ptBgNRr,https://api.spotify.com/v1/tracks/7oTCQ6lVUjdu2H5ptBgNRr,https://api.spotify.com/v1/audio-analysis/7oTCQ6lVUjdu2H5ptBgNRr,277107,4
0.35,0.529,1,-7.86,1,0.0343,0.748,0.0,0.237,0.503,203.561,audio_features,7ovUSP7jWkzWR2SHptYJfd,spotify:track:7ovUSP7jWkzWR2SHptYJfd,https://api.spotify.com/v1/tracks/7ovUSP7jWkzWR2SHptYJfd,https://api.spotify.com/v1/audio-analysis/7ovUSP7jWkzWR2SHptYJfd,275493,4
