danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url
0.111,0.00449,3,-29.626,0.0462,0.979,0.917,0.0987,0.0376,70.997,7IVfaVOgzi2LR32BsGTYl2,spotify:track:7IVfaVOgzi2LR32BsGTYl2,https://api.spotify.com/v1/tracks/7IVfaVOgzi2LR32BsGTYl2,https://api.spotify.com/v1/audio-analysis/7IVfaVOgzi2LR32BsGTYl2
0.688,0.034,0,-25.632,0.0514,0.994,0.935,0.104,0.145,116.967,6IuZlNOlxOzQsYFnEwPJtg,spotify:track:6IuZlNOlxOzQsYFnEwPJtg,https://api.spotify.com/v1/tracks/6IuZlNOlxOzQsYFnEwPJtg,https://api.spotify.com/v1/audio-analysis/6IuZlNOlxOzQsYFnEwPJtg
0.444,0.0772,0,-20.737,0.0871,0.973,0.927,0.0849,0.0896,147.976,7K1MfThbxr9urqDuZmF2Qo,spotify:track:7K1MfThbxr9urqDuZmF2Qo,https://api.spotify.com/v1/tracks/7K1MfThbxr9urqDuZmF2Qo,https://api.spotify.com/v1/audio-analysis/7K1MfThbxr9urqDuZmF2Qo
0.234,0.014,3,-27.898,0.0445,0.993,0.882,0.0945,0.302,68.893,4MGQfGU49D6ylwInmvLkDi,spotify:track:4MGQfGU49D6ylwInmvLkDi,https://api.spotify.com/v1/tracks/4MGQfGU49D6ylwInmvLkDi,https://api.spotify.com/v1/audio-analysis/4MGQfGU49D6ylwInmvLkDi
0.674,0.18,3,-20.498,0.0453,0.989,0.959,0.0875,0.839,127.996,1rz6KrOHxWvjsdIo06bHSQ,spotify:track:1rz6KrOHxWvjsdIo06bHSQ,https://api.spotify.com/v1/tracks/1rz6KrOHxWvjsdIo06bHSQ,https://api.spotify.com/v1/audio-analysis/1rz6KrOHxWvjsdIo06bHSQ
0.197,0.00977,7,-28.579,0.0433,0.98,0.983,0.151,0.0395,71.175,3xWGeQPprLrM4GDiz9oDpm,spotify:track:3xWGeQPprLrM4GDiz9oDpm,https://api.spotify.com/v1/tracks/3xWGeQPprLrM4GDiz9oDpm,https://api.spotify.com/v1/audio-analysis/3xWGeQPprLrM4GDiz9oDpm
0.388,0.255,9,-14.84,0.0788,0.607,0.0389,0.212,0.377,76.784,1JeVyILb2hjEVSqE7BdMbP,spotify:track:1JeVyILb2hjEVSqE7BdMbP,https://api.spotify.com/v1/tracks/1JeVyILb2hjEVSqE7BdMbP,https://api.spotify.com/v1/audio-analysis/1JeVyILb2hjEVSqE7BdMbP
0.726,0.0122,2,-31.736,0.0791,0.994,0.908,0.0795,0.579,104.491,77euQ1KxnWcvWMmqR4pk0a,spotify:track:77euQ1KxnWcvWMmqR4pk0a,https://api.spotify.com/v1/tracks/77euQ1KxnWcvWMmqR4pk0a,https://api.spotify.com/v1/audio-analysis/77euQ1KxnWcvWMmqR4pk0a
0.253,0.227,5,-11.648,0.0315,0.942,0.75,0.103,0.224,83.022,2kbfnwiQvVx7rtLCYog7eD,spotify:track:2kbfnwiQvVx7rtLCYog7eD,https://api.spotify.com/v1/tracks/2kbfnwiQvVx7rtLCYog7eD,https://api.spotify.com/v1/audio-analysis/2kbfnwiQvVx7rtLCYog7eD
0.174,0.153,1,-17.498,0.0397,0.945,0.421,0.115,0.0502,80.254,6pVuaoVoLIUeG3Yl5ygAsJ,spotify:track:6pVuaoVoLIUeG3Yl5ygAsJ,https://api.spotify.com/v1/tracks/6pVuaoVoLIUeG3Yl5ygAsJ,https://api.spotify.com/v1/audio-analysis/6pVuaoVoLIUeG3Yl5ygAsJ
0.141,0.0989,2,-17.473,0.0343,0.916,0.939,0.115,0.0755,75.411,22SAA7ejSxG66lWjaEmzyF,spotify:track:22SAA7ejSxG66lWjaEmzyF,https://api.spotify.com/v1/tracks/22SAA7ejSxG66lWjaEmzyF,https://api.spotify.com/v1/audio-analysis/22SAA7ejSxG66lWjaEmzyF
0.34,0.195,7,-14.196,0.032,0.914,0.662,0.0997,0.0642,116.4,4OewEEF60LvBU2AZSyoeah,spotify:track:4OewEEF60LvBU2AZSyoeah,https://api.spotify.com/v1/tracks/4OewEEF60LvBU2AZSyoeah,https://api.spotify.com/v1/audio-analysis/4OewEEF60LvBU2AZSyoeah
0.784,0.452,9,-9.833,0.0288,0.809,0.924,0.104,0.661,112.07,1LctVq8WkOTLbLN7RA4SC2,spotify:track:1LctVq8WkOTLbLN7RA4SC2,https://api.spotify.com/v1/tracks/1LctVq8WkOTLbLN7RA4SC2,https://api.spotify.com/v1/audio-analysis/1LctVq8WkOTLbLN7RA4SC2
0.71,0.608,4,-13.868,0.0315,0.0749,0.927,0.0984,0.909,108.066,5CHH9SwFNaCpuIAcV0GXot,spotify:track:5CHH9SwFNaCpuIAcV0GXot,https://api.spotify.com/v1/tracks/5CHH9SwFNaCpuIAcV0GXot,https://api.spotify.com/v1/audio-analysis/5CHH9SwFNaCpuIAcV0GXot
0.336,0.15,4,-15.969,0.0356,0.956,0.805,0.0817,0.128,125.339,5ZOw9aR1gHplk3Ks3iCdSG,spotify:track:5ZOw9aR1gHplk3Ks3iCdSG,https://api.spotify.com/v1/tracks/5ZOw9aR1gHplk3Ks3iCdSG,https://api.spotify.com/v1/audio-analysis/5ZOw9aR1gHplk3Ks3iCdSG
0.239,0.195,6,-19.438,0.0414,0.994,0.922,0.105,0.0378,101.961,5wpxeMuAcfH8FWeH1wHfAo,spotify:track:5wpxeMuAcfH8FWeH1wHfAo,https://api.spotify.com/v1/tracks/5wpxeMuAcfH8FWeH1wHfAo,https://api.spotify.com/v1/audio-analysis/5wpxeMuAcfH8FWeH1wHfAo
0.331,0.255,2,-24.147,0.0404,0.986,0.855,0.311,0.349,136.083,2ZMpOq0n124MRPO8vxAgCi,spotify:track:2ZMpOq0n124MRPO8vxAgCi,https://api.spotify.com/v1/tracks/2ZMpOq0n124MRPO8vxAgCi,https://api.spotify.com/v1/audio-analysis/2ZMpOq0n124MRPO8vxAgCi
0.701,0.26,2,-14.494,0.0373,0.974,0.848,0.105,0.173,120.047,6cy75iZKNqyWD7hsZGFNYb,spotify:track:6cy75iZKNqyWD7hsZGFNYb,https://api.spotify.com/v1/tracks/6cy75iZKNqyWD7hsZGFNYb,https://api.spotify.com/v1/audio-analysis/6cy75iZKNqyWD7hsZGFNYb
0.199,0.138,2,-17.578,0.0373,0.756,0.7,0.0904,0.214,168.644,6iTAlzX1ADGkkLIhwyGDtx,spotify:track:6iTAlzX1ADGkkLIhwyGDtx,https://api.spotify.com/v1/tracks/6iTAlzX1ADGkkLIhwyGDtx,https://api.spotify.com/v1/audio-analysis/6iTAlzX1ADGkkLIhwyGDtx
